,filename,describe
0,p1-l0_20250320-000509,"
                Phòng cho thuê tại Quận 2, Hồ Chí Minh, DT 22m², giá chỉ 3,8 triệu VND mỗi tháng. Căn hộ đầy đủ nội thất mang lại sự thoải mái và tiện lợi cho cuộc sống hàng ngày.Thời gian cho thuê linh hoạt, tối thiểu 6 tháng, phù hợp với nhu cầu của nhiều đối tượng khách hàng.+ Nội thất đầy đủ: Máy lạnh, giường, tủ lạnh(máy giặt, máy sấy chung)máy nước nóng, máy lọc nước uống, tủ bếp, kệ bếp, tủ quần áo..Gần các tiện ích như:Gần cao ốc thịnh vượng, homyland, gs 25, family mart, bách hoá xanh..Khu vực an ninh, dân trí cao.Giờ giấc tự do, không chung chủ.Gần chợ, siêu thị, bệnh viện lê văn thịnh.Dễ dàng di chuyển qua các quận 1,7,9, bình thạnh.Phòng mới xây.Nội thất mới 100%.Điện 3,5k.Nước 70k/người.Chính chủ cho thuê không qua môi giới.Liên hệ ngay để biết thêm chi tiết và đặt lịch xem nhà qua 0367 297 *** - Kim Tuế.
            "
1,p1-l10_20250320-000536,"
                    Phòng trọ nằm ở 15B/105 Lê Thánh Tôn, P Bến Nghé, Q1, HCM, rộng 35m², rất thoải mái và tiện nghi.Nội thất full, bao gồm giường, tủ, bàn ghế.Giá chỉ 5,9 triệu VND, cực kỳ hợp lý cho một căn phòng trong trung tâm thành phố.Một tầng duy nhất, không cầu thang phiền phức.Thích hợp cho những ai muốn sống gần gũi với nhịp sống sôi động của Sài Gòn.Địa điểm tiện ích xung quanh:Gần bệnh viện da liễu TP. HCM và bệnh viện nhi đồng 2, rất tiện cho những ai cần chăm sóc sức khỏe.WinMart Đồng Khởi và WinMart + để mua sắm hàng ngày.Không xa các trường THPT nổi tiếng như Trần Đại Nghĩa, Lê Quý Đôn và Marie Curie.Công viên bờ sông và công viên Chi Lăng để thư giãn và tập thể dục.Liên hệ ngay để biết thêm chi tiết: Anna, 0989 785 ***.
                "
2,p1-l11_20250320-000536,"
                    Tô Hiến Thành, P13, Q10.- Kết cấu toà nhà: 3 tầng - 7 phòng - Thang bộ.- Danh mục nội thất: Giường, nệm, tủ đồ, tủ lạnh, kệ bếp, tủ bếp, máy giặt riêng, sofa (theo nhu cầu), máy nóng lạnh.- Các loại phí:Điện: 4k/Kwh.Nước: 100k/Người.Dịch vụ: 150k/Phòng.Xe: 100k.- Quy định số lượng người, số lượng xe: 4 người, 4 xe.- Cho nuôi thú cưng hay không: Hạn chế.- Khu vực giặt phơi: Không.Chính sách cọc và thanh toán tiền nhà.+ Cọc 1 tháng.
                "
3,p1-l12_20250320-000509,"
                    Tìm chỗ ở chill thì không thể bỏ qua phòng trọ này! Nằm ở Nơ Trang Long, p13, Q. Bình Thạnh, TP. HCM, chỗ này cực kỳ dễ chịu với diện tích 35m². Phòng có 1PN và 1WC, nội thất cơ bản, phù hợp cho những ai thích đơn giản mà vẫn thoải mái. Giá cho thuê chỉ 6,4 triệu/tháng, quá hời cho một không gian riêng tư và tiện nghi!+ Nội thất cơ bản với một số món như giường, tủ, bàn ghế.+ Không gian thoáng đãng, yên tĩnh, phù hợp để học tập và làm việc.Tiện ích xung quanh.+ Gần bệnh viện Đa khoa Gia Định, trạm y tế phường 13.+ Siêu thị Luxy - Bình Thạnh, Bách Hóa Xanh 138 Nguyễn Xí.+ Công viên 69/4 Đặng Thùy Trâm, nơi thư giãn lý tưởng.+ Trường tiểu học Trần Quang Vinh, Saigon Academy International School, thuận tiện cho việc học.Liên hệ ngay để biết thêm chi tiết 0989 785 ***.
                "
4,p1-l13_20250320-000536,"
                Nhanh tay sở hữu phòng trọ lý tưởng tại Nguyễn Đình Chiểu, Đa Kao, Quận 1, Hồ Chí Minh. Phòng trọ 1PN với diện tích 30m², rất thích hợp cho những ai tìm kiếm không gian sống tiện nghi, thoải mái.Liên hệ ngay Anna qua số 0989 785 ***.+ Giá thuê: 4,9 triệu VND/tháng.+ Diện tích: 30m².+ 1 phòng ngủ và 1 toilet riêng biệt.+ Không gian sạch sẽ, thoáng mát, đầy đủ tiện nghi.Phòng trọ này không chỉ đáp ứng nhu cầu sinh hoạt hàng ngày mà còn mang đến sự riêng tư và yên tĩnh cho cư dân. Với thiết kế thông minh, không gian được tối ưu hóa để tạo cảm giác rộng rãi.- Địa điểm tiện ích xung quanh:+ Bệnh viện Da Liễu TP. HCM, Bệnh viện Tai Mũi Họng TP. HCM, Bệnh viện Nhi Đồng 2.+ Siêu thị Winmart + , Siêu thị Bon Grocer, Siêu thị Mẹ Bầu & Em Bé Con Cưng.+ Công viên Tao Đàn, Công viên Chi Lăng, Công viên 30/4.+ Trường THPT Lê Quý Đôn, Trường THPT Marie Curie, Trường THPT Chuyên Trần Đại Nghĩa.Để được tư vấn miễn phí và biết thêm chi tiết, liên hệ ngay Anna qua số 0989 785 ***.
            "
5,p1-l14_20250320-000509,"
                Phòng trọ 1PN tại Đường Huỳnh Khương Ninh, P Đa Kao, Q1, HCM cực xịn xò cho thuê. Diện tích 35m², giá chỉ 5,5 triệu VND.Liên hệ ngay để xem phòng: Anna 0989 785 ***.- Không gian thoáng mát, sạch sẽ, đầy đủ tiện nghi.- 1WC riêng biệt, tiện lợi.- Phù hợp cho người đi làm hoặc sinh viên.Cách trường THPT Lê Quý Đôn 2km, cách Winmart + 1,5km, gần công viên Lê Văn Tám 1,8km.Phòng ban công 8600k.Phòng duplex 5500k.Liên hệ ngay để xem phòng: Anna 0989 785 ***.
            "
6,p1-l15_20250320-000536,"
                    Vị trí: Nguyễn Kiệm - Bạch Đằng - Hoàng Minh Giám - Hồ Văn Huê - Phạm Văn Đồng...Thuận tiện di chuyển các quận Bình Thạnh, Phú Nhuận, Tân Bình.Toà thang máy, 1 trệt 1 lửng 5 tầng, khoá vân tay, hầm xe, camera bảo vệ an ninh 24/7.Nội thất: Máy lạnh, Tủ lạnh, Drap ga gối nệm, Tủ quần áo, Bếp điện từ, Máy hút mùi, Nóng lạnh NLMT, Kệ tủ bếp, Máy giặt riêng.Chính sách & quy định chung:- Điện: 3.800/kW.- Nước lạnh: 20.000/m3.- Nước nóng: 22.000/m3.Bạn đang cần tìm thuê căn hộ mini - căn hộ dịch vụ - căn hộ chung cư cao cấp.Hãy để chúng tôi giải quyết nhu cầu của bạn một cách nhanh gọn và chuyên nghiệp nhất.---------------------------Hệ thống mình còn rất nhiều phòng đẹp - giá ưu đãi toạ lạc trên địa bàn TPHCM.Liên hệ SĐT hoặc Zalo để được tư vấn và hỗ trợ xem phòng 24/7.
                "
7,p1-l16_20250320-000536,"
                Studio full nội thất, thiết kế hiện đại.Đặc điểm.Thiết kế hiện đại.Nội thất mới hoàn toàn.Cửa sổ đón sáng.Không gian rộng sinh hoạt.Thuận tiện qua quận 1, bình thạnh.Liên hệ 0369 858 *** Yến Phương tư vấn và xem phòng trực tiếp.
            "
8,p1-l17_20250320-000536,"
                Chill ngay phòng trọ bao đẹp tại Phường 3, Bình Thạnh! Phòng 1PN, 1WC, full nội thất xịn sò, với diện tích 30m². Giá thuê chỉ 4,9 triệu VND/tháng, rất hợp lý cho các bạn trẻ đang tìm kiếm nơi ở thoải mái mà vẫn tiện lợi.Liên hệ ngay với Anna qua số 0989 785 *** để biết thêm chi tiết!- Phòng trọ này cho thuê dài hạn từ 1 năm trở lên, cực kỳ thoải mái cho lối sống năng động.- Địa điểm siêu thuận lợi, gần nhiều tiện ích phục vụ cuộc sống hàng ngày.+ Cách trường học tầm 1km, dễ dàng cho việc đi học.+ Cách siêu thị WinMart + chỉ 1km, tiện lợi cho việc mua sắm.+ Gần bệnh viện thẩm mỹ Thanh Vân, trong trường hợp cần chăm sóc sức khỏe.Giá tốt giảm sâu lên đến 1,5 triệu cho hợp đồng dài hạn trên 1 năm.Đừng bỏ lỡ cơ hội này, liên hệ ngay với Anna qua số 0989 785 *** để biết thêm chi tiết!
            "
9,p1-l18_20250320-000536,"
                    Phòng trọ 1PN siêu xịn tại Nguyễn Văn Thương, P 25, Bình Thạnh, HCM. Diện tích 35m², giá chỉ 5,9 triệu.Liên hệ ngay để biết thêm chi tiết: - 0989 785 ***.Phòng full tiện nghi, phù hợp cho những ai thích không gian thoải mái, riêng tư. Không cần lo lắng về chi phí, ở đây cực kỳ tiết kiệm mà vẫn đầy đủ mọi thứ cho cuộc sống hàng ngày.Với giá thuê này, không chỉ có phòng đẹp mà còn gần nhiều tiện ích xung quanh, giúp cuộc sống dễ dàng hơn. Nếu thích sự tiện lợi, phòng này là lựa chọn không thể bỏ qua.Gần bệnh viện đa khoa quốc tế Vinmec Central Park và công viên Vinhomes Tân Cảng, nơi thư giãn và chăm sóc sức khỏe. Siêu thị Bách Hóa Xanh gần đó cũng giúp tiết kiệm thời gian mua sắm.Liên hệ ngay để biết thêm chi tiết: - 0989 785 ***.
                "
10,p1-l19_20250320-000509,"
                Nhà trọ cho thuê tại 180/28/29 Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh, với diện tích rộng 60m².Liên hệ ngay để được tư vấn miễn phí và xem nhà: Anna - 0989 785 ***.- Giá thuê chỉ 5,4 triệu VND mỗi tháng, một mức giá hợp lý cho không gian sống thoải mái.- Nhà có 1PN và 1WC, rất phù hợp cho cá nhân hoặc cặp đôi.- Nội thất đầy đủ với điều hòa, giường, tủ lạnh, mang lại sự tiện nghi cho cuộc sống hàng ngày.- Nằm trong khu vực yên tĩnh, thuận tiện cho sinh hoạt và nghỉ ngơi.Địa điểm tiện ích xung quanh:- Gần bệnh viện thẩm mỹ Thanh Vân, bệnh viện đa khoa quốc tế Vinmec Central Park, bệnh viện Bình Thạnh cơ sở 2.- Siêu thị mẹ bầu và em bé Con Cưng - concung.com, siêu thị điện máy Tự Do rất gần.- Hệ thống giáo dục với mầm non Hooray, trường phổ thông song ngữ quốc tế Wellspring Saigon và nhiều lớp học nghệ thuật khác.- Công viên cảng Ba Son, công viên Vinhomes Tân Cảng và công viên Vinhomes Central Park là những nơi lý tưởng để thư giãn.Liên hệ ngay để được tư vấn miễn phí và xem nhà: Anna - 0989 785 ***.
            "
11,p1-l1_20250320-000536,"
                Thông báo dự án mới.Phạm Phú Thứ, Phường 11, Quận Tân Bình.Chỉ với 4tr có ngay 1PN mới.1PN full NT mới cửa sổ.Free xe, không chung chủ.Khu vực giáp quận 10 thuận tiện di chuyển.Contact em hỗ trợ 24/7: 0964 721 *** (zalo).
            "
12,p1-l2_20250320-000536,"
                Cho thuê phòng chưa dụng ngay Emart.- Công khai: 3tr8/tháng.Nội thất chưa qua sử dụng gồm: Máy lạnh, tủ quần áo, giường nệm, kệ bếp...Địa chỉ: 331 Phan Huy Ích, Phường 12, Gò Vấp.- Tiện di chuyển: Trường Chinh, Emart Phan Huy Ích, Công viên Phần Mềm Quang Trung, Phạm Văn Bạch, Huỳnh Văn Nghệ, Nguyễn Tư Giản, Nguyễn Sỹ Sách, Cống Lỡ, Trần Thị Trọng, Lê Văn Thọ, Phạm Văn Chiêu, Lê Đức Thọ, Phan Huy Ích, Nguyễn Văn Khối,- Ngay Emart Phan Huy Ích.- Giờ giấc tự do.- Ra vào vân tay.- Không chung chủ.Liên hệ sdt/zalo: 0353 333 ***.
            "
13,p1-l3_20250320-000536,"
                Phòng cửa sổ trời có sẳn máy lạnh.- Diện tích 35m2- Công khai: 3tr5/tháng.Nội thất có sẳn máy lạnh, kệ bếp.Vị trí sau Công Viện Phần Mềm Quang Trung.+ Đi bộ qua Cao Đẳng FPT, Cao Đẳng Viễn Đông.- Tiện di chuyển qua Công Viên Phần Mềm, Quang Trung, Đại học Bách Khoa TP. HCM, Đại học Khoa học Tự nhiên TP. HCM, Đại học FPT, Cao đẳng FPT Polytechnic, Đại học Công nghệ Thông tin, Cao đẳng Viễn Đông, Đại Học Giao thông Vận Tải, Đại Học Lao Động Xã Hội, Đường Quang Trung, Đường Phan Văn Hớn, Đường Lê Thị Riêng, Đường Nguyễn Văn Quá, Đường Tô Ký, Đường Cầu Vượt Ngã 3 An Sương, Nguyễn Ảnh Thủ,...Giờ giấc tự do.Ra vào vân tay.Không chung chủ.Đường ô tô.Liên hệ SDT/zalo: 0353 333 ***.
            "
14,p1-l4_20250320-000536,"
                Hi mọi người ơi, nhà mình (chính chủ) còn 1 phòng cuối trên lầu 4 siêu thoáng mát đang tìm bạn đến ở đây.Phòng rộng rãi, được giữ gìn tốt, có bếp nhỏ để nấu ăn và nhà vệ sinh riêng trong phòng.Ngoài cửa còn có ban công nhỏ để phơi đồ, hoặc bạn có thể lên trên sân thượng ngay lầu trên để phơi cho nhanh khô hen.Điện: 4k/kg.Tiền phòng đã đăng đã bao gồm tất cả mọi chi phí, bao gồm WIFI, nước, rác, gửi xe,... Trừ tiền điện ra nghen.Tiền điện là mng xài bao nhiêu thì tính bấy nhiêu nhé.Nhà mình hẻm ô tô, có khóa vân tay nằm ngay khu vực trung tâm TP, thuận tiện di chuyển đi Q1, Q. Phú Nhuận, Q. 10, Q. Tân Bình,...Gần nhà có cửa hàng tiện lợi, siêu thị, nhà sách cùng các quán ăn ngon.Một vài câu trả lời giúp giải đáp thắc mắc của các bạn:1. Nhà mình chung chủ, nghĩa là bạn thuê phòng trọ và mình cũng đang lưu trú tại đây.2. Phòng nhà mình không nhận nuôi chó, mèo, các bé có lông và không được đóng đinh lên tường để dựng giá đỡ đựng đồ để bảo quản tình trạng phòng.3. Nếu thuê cần cọc trước 1 tháng tiền thuê.4. Giờ sinh hoạt: 5: 00 - 23: 00.5. Trọ chỉ cho nữ thuê, các bạn nữ vui lòng liên hệ trước nếu các bạn qua coi phòng nhé. Mình không nhận tin nhắn của các anh, các chú,... Nhắn là nhờ coi giúp em gái, bạn gái,... Nhé ạ. Bạn nào thuê thì bạn đó qua coi mọi người nhé.6. Mình chỉ nhận ký hợp đồng 1 năm ạ.7. Phòng này do nằm trên tầng 4, rất mát nên mình chưa lắp máy lạnh. Nếu bạn có nhu cầu lắp thì mình xin phép + 200K vào tiền phòng để lắp máy lạnh mới hiệu Casper.
            "
15,p1-l5_20250320-000536,"
                Căn phòng tràn ngập ánh sáng ngay trung tâm Q3.Vị trí: Nguyễn Thiện Thuật quận 3 gần đại học Sư Phạm, ĐH Sài Gòn, UEH.- Sát chợ Bàn Cờ, ngã sáu Cộng Hoà di chuyển dễ dàng các quận 1, quận 10, Phú Nhuận.Diện tích 25m² giá 5.2 triệu/tháng- Full nội thất như ảnh mới toanh.- Ra vào vân tay an ninh camera 24/24.- Cửa sổ thoáng.- Cọc 1 tháng.Liên hệ em ngay để được hỗ trợ xem phòng và tư vấn nhiệt tình.
            "
16,p1-l6_20250320-000536,"
                Âu Dương Lân - Quận 8.Sát cầu Chữ Y, thuận tiện di chuyển qua các quận trung tâm.- Full nội thất như hình.- Rộng 30m², gác cao, ở được 3 - 4 người.- Tòa nhà thang máy.- Giờ giấc tự do, không chung chủ.
            "
17,p1-l7_20250320-000536,"
                Nội thất cơ bản: Máy lạnh, kệ bếp, nước nóng,..DT 30m².Tiện ích chung:- Giờ giấc tự do.- Không chung chủ.- Nhà xe rộng, có thang máy.- Khu giặt phơi chung.- Ra vào khoá vân tay.Giá 4tr/th.Có đầy đủ các dạng phòng:- Studio cửa sổ hành lang.- Studio ban công.- Duplex cửa sổ trời.LH xem phòng ngay: 0947 398 *** (Thái Bảo) hỗ trợ tư vấn & tìm phòng khu vực Q2.
            "
18,p1-l8_20250320-000536,"
                    Địa chỉ: Đặng Thuỳ Trâm, P13, Bình Thạnh.Vị trí:- Ngay Phạm Văn Đồng, Xô Viết Nghệ Tĩnh.- Gần Đại Học Văn Lang, UEF, Hutech, GTVT, Ngoại Thương.- Gần Phan Văn Trị, Cầu Đỏ, Nguyễn Xí, D1, D2, D5, Võ Oanh.- DT 30m² giá 4.5tr/tháng.- Thuận tiện di chuyển Quận 2, Thủ Đức, Quận 1, Phú Nhuận, Gò Vấp.Khu vực gần chợ, siêu thị chuyển đổi tiện lợi.Tổng quan:- Căn hộ đầy đủ nội thất mới.- Camera an ninh 24/7.- Khoá vân tay.- Không chung chủ.- Giờ giấc tự do."" Nhận tìm phòng / căn hộ theo nhu cầu của khách hàng, hỗ trợ tìm phòng theo yêu cầu của khách hàng về đặc sản căn hộ và vị trí đường mà khách hàng mong muốn.Trợ giúp tìm kiếm phòng (miễn phí).Liên hệ ngay sđt: 0368 587 ***.
                "
19,p1-l9_20250320-000536,"
                    Mặt tiền Lê Văn Lương, phường Tân Phong. Q7.- DT 25m².- Giờ tự do cổng vân tay.- Cho nuôi thú cưng nhỏ.- Có nhà xe, wifi, khu giặt phơi.- Cách cổng 1 trường TDT chỉ 100m.- Di chuyển 4p sang LotteMart.- Tiện đi cầu Kênh Tẻ, Quận 4, Quận 1.Phù hợp sinh viên, dãy trọ sinh viên TDT ở nhiều.Liên hệ Bảo: 0528 626 *** (Zal0/Call) hỗ trợ tìm phòng đúng nhu cầu miễn phí trung gian khu vực Quận 7, Nhà Bè, Quận 4, Bình Chánh..
                "
20,p2-l0_20250320-000536,"
                Cho thuê phòng trọ gác cao ban công mới ở khu CNC gần Lã Xuân Oai trường FPT UFM Hutech Vinhomes.DT 30m², giá 3.5 tr/th.An ninh - giờ giấc tự do - không chung chủ - mới xây.- Vị trí thuận tiện di chuyển ra các trục đường lớn Lê Văn Việt, Xa Lộ Hà Nội, Lã Xuân Oai, Võ Văn Hát, D2, Võ Chí Công,...- Xung quanh đầy đủ tiện ích bách hóa xanh, nhà thuốc, quán ăn, gần Vinhomes Q9, Khu Cnc.- Gần các trường fpt, hutech, ufm, nguyễn tất thành, gtvt.- Gần công ty samsung, fpt, tti, nipro, vietjet,...- Tiện di chuyển sang các quận 2, 4, 7, Thủ Đức,...- Tòa nhà ra vào vân tay, trang bị đầy đủ camera an ninh, wifi, máy giặt chung, thang máy, nhà xe rộng, có quản lý, công viên.- Ở được đông bạn.- Phòng trang bị nội thất cơ bản: Máy lạnh, tủ quần áo, nước nóng lạnh, kệ bếp (thêm tủ lạnh + 200k).Đc: Võ Văn Hát, Long Trường, Quận 9.Liên hệ xem phòng trực tiếp 0949 364 *** Gia Thụy.
            "
21,p2-l10_20250320-000536,"
                    Cho thuê phòng trọ gác cao siêu rộng gần ngã tư Thủ Đức Đỗ Xuân Hợp trường SPKT Hutech Công Thương.DT 35m² giá 3.5tr/th.Giờ giấc tự do - không chung chủ - nằm trong khu dân cư an ninh - Giữ phòng qua Tết.- Vị trí thuận tiện di chuyển sang các trục đường Đỗ Xuân Hợp, Dương Đình Hội, Lê Văn Việt, Xa Lộ Hà Nội, Đình Phong Phú, Tăng Nhơn Phú,...- Thuận tiện di chuyển sang các Quận 2, Bình Thạnh, Thủ Đức,... Gần Ngã tư Bình Thái, ngã tư Thủ Đức, Vincom, Coopmart,....- Gần các trường Công Thương, Kinh Tế Đối Ngoại, SPKT, Hutech, Kỹ Nghệ, HUB, FPT, UFM, Văn Hóa,...Tiện ích xung quanh đầy đủ: Chợ, bách hóa xanh, tạp hóa, quán ăn, gym, spa,...Tiện ích tòa nhà: Giặt chung, wifi, nhà xe, camera an ninh, cổng vân tay, vệ sinh chung hàng tuần,...- Phòng dạng gác (cao 2m), trang bị sẵn máy lạnh, kệ bếp.Xem phòng trực tiếp liên hệ 0913 065 *** Gia Thụy.
                "
22,p2-l11_20250320-000536,"
                Trống phòng có gác cửa sổ trời full nội thất.- Công khai: 4tr3/tháng.Nội thất gồm: Máy lạnh, tủ lạnh, tủ quần áo, nệm, kệ bếp...Địa chỉ: 616 Lê Đức Thọ, Phường 15, Gò Vấp.+ Tiện di chuyễn qua: Các trường Đại Học IUH, VLU 5 - 10phút Lê Đức Thọ, Lotte Nguyễn Văn Lượng, Phan Văn Trị, Nguyễn Văn Lượng, Thống Nhất, Nguyễn Oanh, Lê Đức Thọ...Giờ giấc tự do.Ra vào vân tay.Không chung chủ.Đường ô tô.Liên hệ sdt/zalo: 0353 333 ***.
            "
23,p2-l12_20250320-000536,"
                Giờ giấc tự do ra vào vân tay.Không chung chủ nhà xe (free).Tiện ích toà nhà: Camera an ninh, thang thoát hiểm, hệ thống PCCC. 4.2 tr/th.Tiện di chuyển Sân bay TSN, Công viên Gia Định, Bình Thạnh, Phú Nhuận, Nguyễn Thái Sơn, Phạm Văn Đồng, Phan Văn Trị, Lê Đức Thọ, Nguyễn Oanh, Nguyễn Văn Lượng, Thống Nhất, Dương Quãng Hàm,
            "
